date,numday,pms_count,PMS_numkilled,MP_stories_total,AP_stories_total,TVShoot_stories_total
2000-12-26,360.0,1.0,7,0.0,1,2
2000-12-27,361.0,0.0,0,6.6349063,1,3
2000-12-28,362.0,0.0,0,7.557075,0,2
2000-12-29,363.0,0.0,0,5.970727,0,0
2000-12-30,364.0,0.0,0,0.88565624,0,1
2000-12-31,365.0,0.0,0,7.6498694,0,0
2001-01-01,366.0,0.0,0,3.0615776,0,0
2001-01-02,367.0,0.0,0,0.0,0,0
2001-01-03,368.0,0.0,0,1.8067164,0,0
2001-01-04,369.0,0.0,0,2.8053937,0,1
2001-01-05,370.0,0.0,0,2.2128384,0,0
2001-01-06,371.0,0.0,0,1.8568153,0,0
2001-01-07,372.0,0.0,0,1.3386784,0,0
2001-01-08,373.0,0.0,0,0.0,0,0
2001-01-09,374.0,1.0,4,2.3569446,0,0
2001-01-10,375.0,0.0,0,2.5319445,0,0
2001-01-11,376.0,0.0,0,0.6693392,0,1
2001-01-12,377.0,0.0,0,1.4901693,1,0
2001-01-13,378.0,0.0,0,1.7713125,0,0
2001-01-14,379.0,0.0,0,3.3365607,0,1
2001-01-15,380.0,0.0,0,0.0,0,2
2001-01-16,381.0,0.0,0,1.327182,0,0
2001-01-17,382.0,0.0,0,0.0,0,0
2001-01-18,383.0,0.0,0,0.6693392,0,0
2001-01-19,384.0,0.0,0,0.0,0,1
2001-01-20,385.0,0.0,0,0.0,0,0
2001-01-21,386.0,0.0,0,0.0,0,0
2001-01-22,387.0,0.0,0,2.0542762,0,0
2001-01-23,388.0,0.0,0,11.917673,0,0
2001-01-24,389.0,0.0,0,0.0,1,1
2001-01-25,390.0,0.0,0,0.0,0,0
2001-01-26,391.0,0.0,0,0.0,0,0
2001-01-27,392.0,0.0,0,0.0,0,0
2001-01-28,393.0,0.0,0,7.4400597,0,0
2001-01-29,394.0,0.0,0,0.0,0,0
2001-01-30,395.0,0.0,0,1.7808269,1,0
2001-01-31,396.0,0.0,0,2.382838,4,0
2001-02-01,397.0,0.0,0,6.4610248,1,0
2001-02-02,398.0,0.0,0,10.87563,0,0
2001-02-03,399.0,0.0,0,2.1269312,0,0
2001-02-04,400.0,0.0,0,2.654364,0,0
2001-02-05,401.0,1.0,4,0.6693392,1,4
2001-02-06,402.0,0.0,0,1.3758136,0,0
2001-02-07,403.0,0.0,0,1.1250703,0,5
2001-02-08,404.0,0.0,0,1.363334,0,1
2001-02-09,405.0,0.0,0,10.681565,0,1
2001-02-10,406.0,0.0,0,2.1269312,0,0
2001-02-11,407.0,0.0,0,0.6784626,0,0
2001-02-12,408.0,0.0,0,0.5402905,0,0
2001-02-13,409.0,0.0,0,0.5402905,0,0
2001-02-14,410.0,0.0,0,0.0,0,0
2001-02-15,411.0,0.0,0,4.324446,0,0
2001-02-16,412.0,0.0,0,1.5137029,0,0
2001-02-17,413.0,0.0,0,1.8674725,0,1
2001-02-18,414.0,0.0,0,4.6066203,0,0
2001-02-19,415.0,0.0,0,1.327182,0,0
2001-02-20,416.0,0.0,0,1.5921307,0,0
2001-02-21,417.0,0.0,0,1.3758136,0,0
2001-02-22,418.0,0.0,0,1.3758136,0,0
2001-02-23,419.0,0.0,0,7.565215,0,0
2001-02-24,420.0,0.0,0,0.0,0,0
2001-02-25,421.0,0.0,0,4.2538624,0,0
2001-02-26,422.0,0.0,0,0.56253517,0,0
2001-02-27,423.0,0.0,0,0.0,0,0
2001-02-28,424.0,0.0,0,0.0,0,0
2001-03-01,425.0,0.0,0,0.0,0,1
2001-03-02,426.0,0.0,0,0.0,0,0
2001-03-03,427.0,0.0,0,0.0,0,0
2001-03-04,428.0,0.0,0,0.65540355,0,0
2001-03-05,429.0,0.0,0,0.0,0,7
2001-03-06,430.0,0.0,0,12.660468,0,6
2001-03-07,431.0,0.0,0,18.764917,0,6
2001-03-08,432.0,0.0,0,1.7321954,0,6
2001-03-09,433.0,0.0,0,0.0,1,5
2001-03-10,434.0,0.0,0,0.0,1,3
2001-03-11,435.0,0.0,0,2.5681798,0,2
2001-03-12,436.0,0.0,0,0.96754843,0,0
2001-03-13,437.0,0.0,0,1.8568153,0,1
2001-03-14,438.0,0.0,0,5.651628,0,0
2001-03-15,439.0,0.0,0,0.0,0,0
2001-03-16,440.0,0.0,0,0.56253517,0,4
2001-03-17,441.0,0.0,0,0.0,0,3
2001-03-18,442.0,0.0,0,1.9965214,0,0
2001-03-19,443.0,0.0,0,8.493174,1,0
2001-03-20,444.0,0.0,0,0.0,1,0
2001-03-21,445.0,0.0,0,1.0699238,0,0
2001-03-22,446.0,0.0,0,0.0,0,3
2001-03-23,447.0,0.0,0,1.2096297,0,5
2001-03-24,448.0,0.0,0,1.3655493,1,1
2001-03-25,449.0,0.0,0,1.7380594,0,0
2001-03-26,450.0,0.0,0,4.324446,0,3
2001-03-27,451.0,0.0,0,2.5319445,0,0
2001-03-28,452.0,0.0,0,0.0,0,0
2001-03-29,453.0,0.0,0,0.5402905,0,3
2001-03-30,454.0,0.0,0,1.0893399,0,3
2001-03-31,455.0,0.0,0,1.8897172,0,0
2001-04-01,456.0,0.0,0,2.8053937,0,0
2001-04-02,457.0,0.0,0,2.1269312,0,0
2001-04-03,458.0,0.0,0,1.7495557,0,0
2001-04-04,459.0,0.0,0,0.93464655,0,0
2001-04-05,460.0,0.0,0,2.5378084,0,1
2001-04-06,461.0,0.0,0,0.0,0,0
2001-04-07,462.0,0.0,0,0.0,0,1
2001-04-08,463.0,0.0,0,6.057395,0,0
2001-04-09,464.0,0.0,0,4.324446,0,0
2001-04-10,465.0,0.0,0,0.0,0,4
2001-04-11,466.0,0.0,0,6.0625057,0,0
2001-04-12,467.0,0.0,0,4.16066,1,4
2001-04-13,468.0,0.0,0,3.991053,1,3
2001-04-14,469.0,0.0,0,0.0,0,2
2001-04-15,470.0,0.0,0,3.1968548,0,2
2001-04-16,471.0,0.0,0,0.0,1,1
2001-04-17,472.0,0.0,0,3.0593774,1,0
2001-04-18,473.0,0.0,0,1.7944095,0,0
2001-04-19,474.0,0.0,0,1.195694,0,1
2001-04-20,475.0,0.0,0,2.7397132,1,4
2001-04-21,476.0,0.0,0,3.6570148,1,1
2001-04-22,477.0,0.0,0,0.0,0,0
2001-04-23,478.0,0.0,0,2.0056448,0,3
2001-04-24,479.0,0.0,0,1.507839,0,3
2001-04-25,480.0,0.0,0,0.6693392,0,1
2001-04-26,481.0,0.0,0,4.405281,0,0
2001-04-27,482.0,0.0,0,4.324446,0,0
2001-04-28,483.0,0.0,0,2.959641,0,1
2001-04-29,484.0,0.0,0,6.648768,0,2
2001-04-30,485.0,0.0,0,0.5402905,0,0
2001-05-01,486.0,0.0,0,0.5402905,0,0
2001-05-02,487.0,0.0,0,3.4702547,0,0
2001-05-03,488.0,0.0,0,1.3758136,0,0
2001-05-04,489.0,0.0,0,9.794481,0,0
2001-05-05,490.0,0.0,0,0.0,0,0
2001-05-06,491.0,0.0,0,7.2793317,0,1
2001-05-07,492.0,0.0,0,1.5359476,2,5
2001-05-08,493.0,0.0,0,7.8736205,0,2
2001-05-09,494.0,0.0,0,5.2919946,0,2
2001-05-10,495.0,0.0,0,1.7580849,0,0
2001-05-11,496.0,0.0,0,9.20005,1,0
2001-05-12,497.0,0.0,0,4.705305,0,0
2001-05-13,498.0,0.0,0,3.6895921,0,0
2001-05-14,499.0,0.0,0,7.459592,0,0
2001-05-15,500.0,0.0,0,2.32062,0,0
2001-05-16,501.0,0.0,0,5.68778,0,1
2001-05-17,502.0,0.0,0,2.3989263,0,2
2001-05-18,503.0,0.0,0,2.5319445,0,0
2001-05-19,504.0,0.0,0,2.5378084,0,1
2001-05-20,505.0,0.0,0,2.7516272,0,0
2001-05-21,506.0,0.0,0,0.0,0,0
2001-05-22,507.0,0.0,0,1.327182,0,1
2001-05-23,508.0,0.0,0,0.43090278,0,0
2001-05-24,509.0,0.0,0,0.0,0,1
2001-05-25,510.0,0.0,0,1.3758136,0,0
2001-05-26,511.0,0.0,0,0.0,0,0
2001-05-27,512.0,0.0,0,0.6784626,0,0
2001-05-28,513.0,0.0,0,1.3758136,0,0
2001-05-29,514.0,0.0,0,0.0,0,1
2001-05-30,515.0,0.0,0,3.5027447,2,0
2001-05-31,516.0,0.0,0,10.188436,0,0
2001-06-01,517.0,0.0,0,1.7866908,0,2
2001-06-02,518.0,0.0,0,1.9383488,0,2
2001-06-03,519.0,0.0,0,4.4158964,0,3
2001-06-04,520.0,0.0,0,2.7111359,0,4
2001-06-05,521.0,0.0,0,1.614643,2,3
2001-06-06,522.0,0.0,0,3.9962242,0,0
2001-06-07,523.0,0.0,0,1.6205069,0,1
2001-06-08,524.0,0.0,0,9.428976,0,0
2001-06-09,525.0,0.0,0,6.5888734,1,0
